Price,Close,High,Low,Open,Volume
Ticker,AEMD,AEMD,AEMD,AEMD,AEMD
Date,,,,,
2018-01-26,243.0,256.5,219.0,222.0,5397
2018-01-29,259.5,280.5,247.5,262.5,8627
2018-01-30,231.0,262.5,231.0,262.5,3758
2018-01-31,225.0,244.5,222.0,238.5,2933
2018-02-01,223.5,231.0,208.5,223.5,2969
2018-02-02,205.5,240.0,202.5,240.0,2509
2018-02-05,213.0,223.5,199.5,204.0,2925
2018-02-06,232.5,232.5,207.0,207.0,1872
2018-02-07,222.0,244.5,214.5,237.0,1602
2018-02-08,214.5,231.0,210.0,231.0,1119
2018-02-09,216.0,223.5,207.0,211.5,1045
2018-02-12,231.0,234.0,214.5,220.5,1559
2018-02-13,244.5,247.5,225.0,225.0,1838
2018-02-14,253.5,262.5,240.0,243.0,2415
2018-02-15,228.0,253.5,217.5,249.0,3725
2018-02-16,229.5,232.5,223.5,232.5,993
2018-02-20,222.0,241.5,217.5,241.5,1475
2018-02-21,216.0,231.0,213.0,220.5,1317
2018-02-22,228.0,231.0,216.0,222.0,1081
2018-02-23,241.5,241.5,222.0,228.0,1926
2018-02-26,232.5,247.5,228.0,247.5,1164
2018-02-27,231.0,234.0,225.0,231.0,695
2018-02-28,226.5,232.5,226.5,231.0,868
2018-03-01,222.0,229.5,216.0,228.0,1118
2018-03-02,228.0,231.0,217.5,217.5,843
2018-03-05,228.0,232.5,225.0,226.5,1317
2018-03-06,228.0,234.0,225.0,225.0,987
2018-03-07,238.5,246.0,228.0,228.0,2098
2018-03-08,258.0,277.5,240.0,240.0,6183
2018-03-09,258.0,274.5,255.0,255.0,2105
2018-03-12,256.5,267.0,247.5,256.5,1198
2018-03-13,250.5,264.0,247.5,256.5,737
2018-03-14,255.0,258.0,249.0,253.5,365
2018-03-15,285.0,306.0,256.5,258.0,7269
2018-03-16,271.5,298.5,270.0,298.5,2164
2018-03-19,241.5,277.5,241.5,262.5,3239
2018-03-20,240.0,246.0,237.0,244.5,1753
2018-03-21,211.5,243.0,165.0,241.5,14105
2018-03-22,196.5,210.0,186.0,196.5,3704
2018-03-23,175.5,196.5,172.5,193.5,3625
2018-03-26,169.5,180.0,166.5,172.5,3199
2018-03-27,171.0,180.0,157.5,172.5,3249
2018-03-28,175.5,180.0,171.0,171.0,1509
2018-03-29,178.5,180.0,168.0,178.5,1566
2018-04-02,210.0,223.5,178.5,180.0,4114
2018-04-03,217.5,232.5,202.5,210.0,2817
2018-04-04,214.5,226.5,210.0,226.5,1223
2018-04-05,202.5,214.5,195.0,214.5,1171
2018-04-06,189.0,208.5,187.5,199.5,835
2018-04-09,184.5,196.5,183.0,189.0,1695
2018-04-10,187.5,195.0,177.0,183.0,2278
2018-04-11,181.5,186.0,178.5,186.0,1251
2018-04-12,190.5,192.0,183.0,184.5,370
2018-04-13,190.5,199.5,189.0,189.0,733
2018-04-16,198.0,199.5,192.0,195.0,854
2018-04-17,208.5,219.0,198.0,198.0,2259
2018-04-18,202.5,207.0,192.0,205.5,644
2018-04-19,199.5,207.0,195.0,204.0,549
2018-04-20,193.5,207.0,192.0,199.5,740
2018-04-23,192.0,195.0,189.0,192.0,423
2018-04-24,195.0,199.5,192.0,195.0,297
2018-04-25,196.5,199.5,192.0,195.0,479
2018-04-26,196.5,202.5,192.0,195.0,628
2018-04-27,201.0,201.0,193.5,193.5,243
2018-04-30,201.0,208.5,198.0,198.0,873
2018-05-01,207.0,208.5,201.0,201.0,409
2018-05-02,213.0,217.5,205.5,208.5,1043
2018-05-03,208.5,225.0,205.5,217.5,637
2018-05-04,204.0,205.5,199.5,205.5,349
2018-05-07,198.0,205.5,196.5,205.5,1009
2018-05-08,211.5,216.0,198.0,198.0,2351
2018-05-09,202.5,216.0,196.5,216.0,1753
2018-05-10,199.5,207.0,199.5,207.0,1030
2018-05-11,202.5,204.0,199.5,201.0,339
2018-05-14,196.5,204.0,193.5,199.5,598
2018-05-15,195.0,199.5,193.5,195.0,405
2018-05-16,198.0,202.5,195.0,195.0,936
2018-05-17,189.0,201.0,184.5,196.5,1648
2018-05-18,199.5,202.5,187.5,195.0,1186
2018-05-21,201.0,205.5,199.5,204.0,975
2018-05-22,193.5,204.0,193.5,204.0,937
2018-05-23,189.0,195.0,187.5,193.5,576
2018-05-24,180.0,186.0,177.0,184.5,1709
2018-05-25,181.5,184.5,177.0,178.5,529
2018-05-29,183.0,189.0,180.0,189.0,295
2018-05-30,189.0,192.0,181.5,184.5,371
2018-05-31,187.5,190.5,184.5,187.5,229
2018-06-01,187.5,187.5,183.0,186.0,183
2018-06-04,189.0,193.5,184.5,187.5,317
2018-06-05,195.0,198.0,189.0,189.0,803
2018-06-06,190.5,198.0,190.5,195.0,388
2018-06-07,184.5,193.5,181.5,193.5,373
2018-06-08,195.0,196.5,184.5,184.5,1785
2018-06-11,193.5,198.0,183.0,198.0,1215
2018-06-12,198.0,202.5,189.0,195.0,864
2018-06-13,199.5,204.0,195.0,195.0,499
2018-06-14,198.0,202.5,198.0,202.5,417
2018-06-15,196.5,199.5,192.0,193.5,543
2018-06-18,195.0,202.5,192.0,192.0,500
2018-06-19,190.5,202.5,190.5,193.5,555
2018-06-20,190.5,202.5,186.0,202.5,565
2018-06-21,198.0,198.0,192.0,195.0,398
2018-06-22,195.0,198.0,189.0,198.0,485
2018-06-25,195.0,196.5,189.0,192.0,623
2018-06-26,192.0,199.5,189.0,195.0,1219
2018-06-27,192.0,195.0,187.5,187.5,624
2018-06-28,190.5,198.0,189.0,192.0,138
2018-06-29,192.0,193.5,189.0,192.0,321
2018-07-02,195.0,196.5,192.0,195.0,147
2018-07-03,198.0,202.5,192.0,192.0,691
2018-07-05,199.5,202.5,195.0,201.0,535
2018-07-06,201.0,202.5,196.5,201.0,155
2018-07-09,199.5,204.0,196.5,199.5,565
2018-07-10,195.0,202.5,195.0,198.0,293
2018-07-11,195.0,199.5,193.5,193.5,437
2018-07-12,198.0,199.5,193.5,193.5,276
2018-07-13,195.0,202.5,190.5,198.0,322
2018-07-16,192.0,201.0,192.0,195.0,349
